Id,Class,Title,Instructor,Classroom,Time
921U1890,00,隨機程序及應用　　,鐘嘉德　,博理114　,"五7,8,9　　"
945U3010,00,創業與創業投資　　,李光斌　,博理212　,"五7,8,9　　"
922U3010,00,數位影像處理　　　,洪一平　,資104　　,"五3,4,5　　"
90239800,00,前瞻資訊科技一　　,陳縕儂　,資104　　,"五7,8,9　　"
922U4510,02,區塊鏈導論　　　　,廖世偉　,資104　　,"五A,B,C　　"
922U4630,00,機器學習安全特論　,陳尚澤　,資105　　,"五2,3,4　　"
921U5020,00,電磁特論　　　　　,江簡富　,電二101　,"五7,8,9　　"
942U0140,00,無線通訊功率放大器設計,黃天偉　,電二104　,"五2,3,4　　"
921U1050,00,隨機信號和系統　　,李枝宏　,電二104　,"五7,8,9　　"
90140300,00,無線電路設計　　　,毛紹綱　,電二141　,"五7,8,9　　"
921U2640,00,創新與研發管理　　,王帛霞　,電二144　,"五2,3,4　　"
90130100,00,科學研究與學術生涯,鍾孝文　,電二145　,"五2,3,4　　"
90124120,00,電力電子概論　　　,金藝璘　,電二225　,"五2,3,4　　"
90143600,00,生理學　　　　　　,林則彬　,電二229　,"五2,3,4　　"
90138100,00,近代物理　　　　　,李峻霣　,電二229　,"五6,7,8　　"
